City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
468,alexandria,EG,73.0,31.2156,29.9553,Svetlyy
469,yerofey pavlovich,RU,24.8,53.9667,121.9667,The George
470,shahreza,IR,61.93,32.0339,51.8794,Hilton Garden Inn Auburn Riverwatch
471,angoche,MZ,77.29,-16.2325,39.9086,A one dresess& cloth store Dargha chowk Mangrulpir
472,morondava,MG,78.87,-20.2833,44.2833,Goto Guesthouse Utojuku & SA Car Rental
473,boralday,KZ,47.17,43.3578,76.8594,Kpm Park & Lodge
474,hit,IQ,78.24,33.6416,42.8251,Jardines de Viana Spa
475,yelan,RU,43.61,50.949,43.7378,Tierras Del Sol
476,gladstone,AU,69.73,-23.85,151.25,Hotel Jin Hao
477,shenjiamen,CN,64.02,29.9576,122.298,Guest House Epervier
481,maua,BR,79.45,-23.6678,-46.4614,Hotel Boutique Las Azucenas
482,aykhal,RU,27.54,66.0,111.5,Apart Hotel - Arianos
483,moerai,PF,73.81,-22.4333,-151.3333,Hotel Festival Plaza Rosarito
485,dombas,NO,33.96,62.0696,9.1235,fatyCentre Paradise
486,fortuna,US,54.93,40.5982,-124.1573,Rodeway Inn Kingman Route 66
488,san rafael,AR,79.3,-34.6177,-68.3301,Hotel complex Pastoral
489,kupang,ID,79.77,-10.1667,123.5833,Best Western Holiday Hotel
490,kraslava,LV,47.57,55.8951,27.168,Hampton Inn Ukiah
491,pestretsy,RU,39.34,55.7531,49.6545,Residencial Karime
492,mala vyska,UA,51.06,48.6431,31.6366,Nordre Silda.
494,damietta,EG,74.12,31.4165,31.8133,Alize Plage
496,linxia,CN,52.83,35.6003,103.2064,Best Western Bonnyville Inn & Suites
501,yamada,JP,47.14,39.4667,141.95,Roma Zee Guest House Annex
502,samarai,PG,79.77,-10.6167,150.6667,Ahc Hoteles
503,tahta,EG,74.17,26.7693,31.5021,Erenhot Rurouni Youth Hostel
504,buchanan,LR,78.82,5.8808,-10.0467,Hótel Höfn
505,yar-sale,RU,29.5,66.8333,70.8333,Sortland Hotel
506,liuzhou,CN,73.94,24.3126,109.3892,Knobby's Fly-In Camps
509,kirkuk,IQ,75.61,35.4681,44.3922,Earthbound Guest House
510,avera,US,76.55,33.194,-82.5271,Best Western Smoky Mountain Inn
511,sistranda,NO,35.56,63.7256,8.834,Lalehan Hotel
512,ban phai,TH,79.02,16.06,102.731,Khách sạn Sài Gòn Bạc Liêu
513,aksarka,RU,28.51,66.5606,67.7975,Gondolas Forum grandchildren and grandparents
515,benguela,AO,77.27,-12.5763,13.4055,Skytterhuset
518,weihai,CN,55.29,37.5017,122.1136,Jinqiao Hotel
519,luena,AO,71.83,-11.7833,19.9167,Sand Canyon National 9 Inn
520,ryotsu,JP,53.69,38.0833,138.4333,Hampton Inn Springfield
521,zaltan,LY,75.06,32.947,11.8665,Suigetsu
522,pong,TH,71.42,19.1493,100.2752,"Helló Panzió és Turistaszálló - Kisvárda, szálláshely, olcsó szállás Kisvárda"
523,armidale,AU,53.73,-30.5167,151.65,Embassy Suites by Hilton Portland Downtown
524,mitchell,US,73.11,43.7094,-98.0298,Quinta Splendida Wellness & Botanical Garden
527,kahului,US,79.84,20.8947,-156.47,Arman hotel
528,necochea,AR,68.5,-38.5473,-58.7368,Crest Hotel
529,kenai,US,36.14,60.5544,-151.2583,Hotel Les Arcades
531,xining,CN,47.73,36.6167,101.7667,Parsian BuAli Hotel
532,vila franca do campo,PT,66.61,37.7167,-25.4333,Gostinitsa Pri Depo
533,vila velha,BR,75.15,-20.3297,-40.2925,The Sternwheeler Hotel & Conference Centre
536,nakhon sawan,TH,75.18,15.7,100.0833,Wisma Dewi Hotel
537,bodmin,GB,55.36,50.4715,-4.7243,Hôtel Jules
538,jieshi,CN,72.59,22.8134,115.8257,Phellos Suites
540,palmer,US,60.57,42.1584,-72.3287,Lanzhou Amdo Xiangbala Hotel
541,potosi,BO,58.82,-19.5836,-65.7531,Hotel RIKMAN Continental
542,naze,JP,68.92,28.3667,129.4833,Villa Mar Colina
543,zhangye,CN,48.18,38.9342,100.4517,International Lodge Motel
544,orange,US,69.39,33.7,-117.7675,Macs
545,roebourne,AU,73.0,-20.7833,117.1333,Hotel internacional
546,zarubino,RU,40.3,42.63,131.0922,Nenjiang Apartment
547,ulaanbaatar,MN,37.99,47.9077,106.8832,Quality Inn & Suites Rimbey
548,borogontsy,RU,12.4,62.6683,131.1683,Hotel Ambulu Jember
